COUNTY,BEVERAGE WINE,BOX WINE,BRANDY/COGNAC,GIN,LIQUEUR/CORDIALS,READY-TO-DRINK,RED TABLE WINE,ROSÉ/BLUSH,RUM,SPARKLING,TEQUILA,VODKA,WHISKEY,WHITE TABLE WINE
Adams,43457.00,293541.00,107868.00,138869.00,375283.00,57420.00,756113.00,99401.00,394087.00,162101.00,191829.00,790126.00,1472067.00,592510.00
Allegheny,2732064.00,13942147.00,12597143.00,6363422.00,12906610.00,2644083.00,47907413.00,5786165.00,14463905.00,11583057.00,13630960.00,46572615.00,59915030.00,31413382.00
Armstrong,83920.00,199088.00,59077.00,64520.00,280963.00,54657.00,299141.00,69583.00,417447.00,81541.00,102368.00,707064.00,1276015.00,251260.00
Beaver,255874.00,1055318.00,861514.00,382514.00,1147672.00,234061.00,1990937.00,326071.00,1617160.00,469579.00,1108543.00,4195537.00,6076296.00,1323089.00
Bedford,65698.00,175552.00,68134.00,68705.00,283974.00,51596.00,405245.00,77276.00,346955.00,123729.00,80047.00,516359.00,1064821.00,296672.00
Berks,641564.00,2722211.00,2690101.00,1136269.00,3164084.00,558787.00,5687602.00,976113.00,4356460.00,1477903.00,2425417.00,9393776.00,12213169.00,4408395.00
Blair,231788.00,693659.00,364907.00,259976.00,1225211.00,187514.00,1503952.00,279569.00,1404144.00,367088.00,453153.00,2501608.00,3885424.00,988750.00
Bradford,89984.00,356421.00,120749.00,117794.00,416909.00,63807.00,430561.00,78193.00,541607.00,74191.00,130120.00,828980.00,1446651.00,379085.00
Bucks,987005.00,6262344.00,2832970.00,2790148.00,5822175.00,1270648.00,25289931.00,2922447.00,5403870.00,5565265.00,4986381.00,22010343.00,24300009.00,18541817.00
Butler,340821.00,1911944.00,423804.00,707972.00,1995017.00,365210.00,6068804.00,674978.00,2503513.00,1189248.00,1285462.00,6177080.00,9102214.00,3756789.00
Cambria,332174.00,774542.00,494016.00,238400.00,1100639.00,204918.00,1258790.00,297803.00,1454486.00,350570.00,363709.00,2588511.00,4009177.00,952091.00
Cameron,6356.00,12000.00,6996.00,8159.00,45233.00,4109.00,39246.00,5755.00,48951.00,6240.00,8313.00,62305.00,138786.00,18677.00
Carbon,70920.00,308323.00,160138.00,106451.00,424551.00,65866.00,457700.00,99078.00,418797.00,109706.00,139895.00,1101153.00,1277662.00,428900.00
Centre,157138.00,1283134.00,491257.00,722616.00,1536140.00,187900.00,3935197.00,470799.00,1698530.00,972828.00,1011744.00,4220959.00,5694550.00,2763419.00
Chester,449414.00,4756020.00,1918865.00,2330632.00,3507874.00,809126.00,20153613.00,2098496.00,3587538.00,4569510.00,3556605.00,15055314.00,17176732.00,15501904.00
Clarion,70343.00,180145.00,76961.00,68360.00,320369.00,56556.00,307363.00,62814.00,441642.00,68966.00,88099.00,593925.00,1068517.00,225042.00
Clearfield,139631.00,376282.00,222870.00,144413.00,666982.00,116197.00,763806.00,133905.00,783842.00,179383.00,173655.00,1279428.00,2253651.00,504137.00
Clinton,43689.00,120540.00,74834.00,55633.00,282311.00,42580.00,168805.00,31556.00,380641.00,50578.00,87420.00,566358.00,873092.00,150465.00
Columbia,112371.00,382216.00,201160.00,166734.00,541925.00,91538.00,821282.00,138733.00,805946.00,182224.00,227097.00,1454020.00,1884000.00,665230.00
Crawford,141270.00,464726.00,237469.00,189877.00,589070.00,96437.00,937022.00,161006.00,871478.00,183650.00,238487.00,1546922.00,2609703.00,667858.00
Cumberland,403661.00,2347562.00,1130278.00,1026515.00,2483118.00,408967.00,6455332.00,847947.00,3016894.00,1475838.00,1392999.00,7549334.00,10484143.00,4800783.00
Dauphin,518698.00,2153141.00,3705430.00,1016593.00,2441975.00,458206.00,5179418.00,786229.00,3031536.00,1327575.00,1549557.00,7686323.00,9591822.00,3904563.00
Delaware,754965.00,3199321.00,5023790.00,1594250.00,2828370.00,911700.00,12837700.00,1817558.00,3152914.00,3054212.00,2993033.00,12386527.00,12602296.00,9765618.00
Elk,54598.00,133846.00,54625.00,51934.00,261120.00,36096.00,216565.00,41172.00,306813.00,65316.00,56210.00,368453.00,788997.00,142781.00
Erie,567626.00,2286987.00,2647196.00,938530.00,2718112.00,512473.00,4615729.00,876649.00,3821267.00,1173675.00,2089530.00,8445345.00,11201491.00,3491102.00
Fayette,282436.00,463727.00,496881.00,192734.00,716701.00,149884.00,1122392.00,198376.00,959005.00,336239.00,446592.00,2145736.00,3438807.00,825620.00
Forest,11808.00,49905.00,14993.00,15028.00,70861.00,10216.00,58127.00,9296.00,99487.00,12164.00,17593.00,146097.00,348215.00,35355.00
Franklin,157295.00,670594.00,463865.00,230723.00,863145.00,157361.00,1320381.00,221178.00,1112545.00,282731.00,410787.00,1877791.00,3207118.00,1060553.00
Fulton,10910.00,47185.00,29222.00,15591.00,60691.00,8923.00,44746.00,7940.00,87794.00,10081.00,20399.00,110661.00,218571.00,33685.00
Greene,46888.00,104539.00,55398.00,26119.00,165758.00,35422.00,161959.00,39292.00,245245.00,37032.00,83502.00,415549.00,986650.00,111045.00
Huntingdon,43460.00,157893.00,103136.00,70832.00,211304.00,35821.00,192101.00,47300.00,368866.00,46387.00,67517.00,571110.00,920553.00,178249.00
Indiana,167562.00,383188.00,178302.00,125033.00,521815.00,98190.00,878485.00,135426.00,732177.00,198996.00,249010.00,1354756.00,2178225.00,561520.00
Jefferson,54493.00,129507.00,66093.00,49368.00,248880.00,40770.00,213388.00,43758.00,321405.00,48317.00,48173.00,479874.00,876433.00,130581.00
Juniata,16657.00,61435.00,41150.00,17033.00,111403.00,17911.00,69507.00,16981.00,122665.00,15153.00,26690.00,219900.00,334894.00,55553.00
Lackawanna,589950.00,2233479.00,1550144.00,769574.00,2455894.00,385198.00,5549930.00,775444.00,1933133.00,1228401.00,1166060.00,7471147.00,8165218.00,4155098.00
Lancaster,657052.00,3868868.00,2324528.00,1518557.00,3716266.00,636775.00,7760964.00,1282874.00,4710232.00,1923180.00,1863223.00,10609474.00,14255752.00,6073393.00
Lawrence,180104.00,379521.00,471905.00,144474.00,557001.00,132212.00,973350.00,168385.00,708861.00,242731.00,428926.00,1885676.00,2741383.00,574672.00
Lebanon,181442.00,765474.00,561625.00,275927.00,873296.00,160569.00,1181360.00,251934.00,1239833.00,307333.00,422063.00,2052086.00,3209417.00,1027573.00
Lehigh,710836.00,3398672.00,4391857.00,1535460.00,3563388.00,682578.00,10242039.00,1406891.00,4004824.00,2517733.00,2717984.00,11726042.00,14553143.00,7317912.00
Luzerne,814505.00,2486871.00,3078551.00,833443.00,3035997.00,536809.00,5129222.00,928183.00,2815132.00,1407396.00,1768400.00,8689306.00,11081800.00,3865724.00
Lycoming,208348.00,819225.00,664297.00,407175.00,1193079.00,179914.00,1476797.00,244102.00,1678296.00,429712.00,470702.00,2926999.00,4444377.00,1273650.00
McKean,77958.00,214367.00,89960.00,61646.00,334471.00,52631.00,373588.00,69001.00,466656.00,85289.00,96127.00,653738.00,1207485.00,290901.00
Mercer,214364.00,610799.00,682182.00,278243.00,945855.00,151052.00,1302455.00,227332.00,1179147.00,345724.00,593126.00,2675669.00,4105254.00,927586.00
Mifflin,35248.00,170796.00,82574.00,64103.00,376942.00,41351.00,176427.00,56493.00,430386.00,50844.00,72231.00,501844.00,904294.00,177567.00
Monroe,406603.00,1770766.00,2249794.00,598376.00,1905137.00,430570.00,4210800.00,714621.00,2171140.00,1095047.00,1495379.00,6314970.00,6655192.00,2957150.00
Montgomery,1399949.00,8212253.00,7528635.00,4442650.00,7351445.00,1895042.00,34895108.00,4284823.00,7663747.00,8432995.00,8736872.00,30006510.00,33337927.00,26131579.00
Montour,36698.00,187350.00,57684.00,95163.00,208137.00,35882.00,393405.00,59500.00,305824.00,104435.00,84355.00,529772.00,836804.00,336324.00
Northampton,480909.00,2426138.00,1638466.00,899076.00,2342638.00,437791.00,5688313.00,819139.00,2546540.00,1246656.00,1366875.00,7686471.00,8703871.00,3919328.00
Northumberland,145924.00,317656.00,226444.00,108657.00,508673.00,75018.00,367085.00,110572.00,823026.00,99058.00,129034.00,1082228.00,1551680.00,336332.00
Perry,25366.00,125838.00,50896.00,42217.00,184808.00,28254.00,125552.00,28155.00,254853.00,33948.00,38512.00,375624.00,649283.00,107992.00
Philadelphia,3513876.00,7228366.00,29893020.00,4911793.00,7559844.00,3281049.00,26631321.00,5044043.00,10216018.00,9858996.00,12211499.00,31785782.00,34115905.00,16921493.00
Pike,75960.00,470223.00,159026.00,134186.00,389379.00,80882.00,1338573.00,216195.00,326537.00,255555.00,275270.00,1172032.00,1471537.00,995414.00
Potter,23029.00,85316.00,26307.00,30509.00,110758.00,18153.00,119793.00,17376.00,135824.00,16326.00,22355.00,219212.00,398265.00,76734.00
Schuylkill,257075.00,777957.00,389874.00,273085.00,945382.00,177538.00,1119051.00,260179.00,1149620.00,308186.00,320903.00,2101639.00,2974336.00,1001778.00
Snyder,56905.00,169079.00,85109.00,103574.00,302536.00,56600.00,398015.00,69227.00,428989.00,99061.00,123182.00,635786.00,963447.00,334205.00
Somerset,103843.00,262124.00,91569.00,78134.00,382256.00,65997.00,436533.00,93714.00,504636.00,103950.00,105703.00,782383.00,1445196.00,321482.00
Sullivan,12531.00,34529.00,17873.00,11179.00,34796.00,8084.00,58283.00,9385.00,47321.00,7665.00,9989.00,93149.00,172718.00,42240.00
Susquehanna,48914.00,189833.00,56282.00,45334.00,186117.00,23931.00,261254.00,50723.00,163515.00,42599.00,71816.00,451098.00,670541.00,232571.00
Tioga,78285.00,236849.00,69151.00,81832.00,294811.00,54473.00,349590.00,72311.00,387929.00,55924.00,73260.00,555373.00,1133404.00,268494.00
Union,59746.00,296710.00,116108.00,154500.00,349467.00,60821.00,764720.00,121245.00,465951.00,197318.00,179603.00,935150.00,1323364.00,708131.00
Venango,80505.00,274710.00,100019.00,81978.00,370160.00,77114.00,367818.00,89670.00,466359.00,78213.00,105001.00,735015.00,1339344.00,320125.00
Warren,61795.00,236731.00,64539.00,85610.00,286339.00,40122.00,296438.00,53989.00,409399.00,58175.00,61735.00,627649.00,1160347.00,240974.00
Washington,319124.00,1329319.00,583113.00,454870.00,1424468.00,284320.00,3450329.00,452289.00,1963287.00,753875.00,1000802.00,4997412.00,7401838.00,2383716.00
Wayne,128980.00,810739.00,218328.00,286352.00,756872.00,116047.00,1996719.00,266779.00,677996.00,377491.00,437772.00,2196370.00,2513577.00,1462330.00
Westmoreland,1034414.00,3220715.00,1235175.00,1094395.00,3428969.00,681105.00,8291469.00,1208599.00,4506292.00,1782460.00,2040426.00,10752161.00,15671010.00,5466834.00
Wyoming,46411.00,227213.00,70438.00,77698.00,228572.00,38173.00,330109.00,46426.00,229725.00,68054.00,82969.00,526624.00,806829.00,246760.00
York,638639.00,2973649.00,2438767.00,1132443.00,3840119.00,596528.00,5905414.00,1025121.00,5222031.00,1537179.00,1901851.00,9975813.00,14252777.00,4524673.00
