County,2017-2018 Year Total ($),2018-2019 Year Total ($),2019-2020 Year Total ($)
Adams,5974649.0,6087119.0,5474672.0
Allegheny,287446445.0,297562217.0,282457996.0
Armstrong,4119789.0,4100004.0,3946644.0
Beaver,20662151.0,21929547.0,21044165.0
Bedford,3794119.0,3777616.0,3624763.0
Berks,56297110.0,57384537.0,51851851.0
Blair,15223843.0,15096858.0,14346743.0
Bradford,5201759.0,5299059.0,5075052.0
Bucks,143318106.0,146406452.0,128985353.0
Butler,36578788.0,37536406.0,36502856.0
Cambria,14971089.0,15249671.0,14419826.0
Cameron,430368.0,454580.0,411126.0
Carbon,5000545.0,5409977.0,5169140.0
Centre,28117751.0,28066026.0,25146211.0
Chester,110586835.0,112305705.0,95471643.0
Clarion,3863568.0,3841244.0,3629102.0
Clearfield,7759296.0,7895270.0,7738182.0
Clinton,2933357.0,3024901.0,2928502.0
Columbia,8682342.0,8234057.0,7674476.0
Crawford,9215524.0,9287688.0,8934975.0
Cumberland,46719726.0,47724350.0,43823371.0
Dauphin,48380690.0,48702138.0,43351066.0
Delaware,81212402.0,84610276.0,72922254.0
Elk,2718583.0,2702272.0,2578526.0
Erie,47577609.0,48184222.0,45385712.0
Fayette,12167971.0,12687994.0,11775130.0
Forest,882156.0,875957.0,899145.0
Franklin,13332814.0,13645851.0,12036067.0
Fulton,625305.0,685020.0,706399.0
Greene,2467373.0,2584272.0,2514398.0
Huntingdon,3455590.0,3349313.0,3014529.0
Indiana,8738113.0,8515951.0,7762685.0
Jefferson,2833550.0,2818387.0,2751040.0
Juniata,1149230.0,1127836.0,1126932.0
Lackawanna,41629128.0,42057745.0,38428670.0
Lancaster,67426229.0,67923854.0,61201138.0
Lawrence,9270790.0,9543735.0,9589201.0
Lebanon,13619199.0,13567873.0,12509932.0
Lehigh,75637256.0,76497687.0,68769359.0
Luzerne,49819718.0,50942464.0,46471339.0
Lycoming,16694459.0,17284773.0,16416673.0
McKean,4458154.0,4369560.0,4073818.0
Mercer,14319119.0,14754695.0,14238788.0
Mifflin,3456653.0,3503408.0,3141100.0
Monroe,34881086.0,35349238.0,32975545.0
Montgomery,208600037.0,212777142.0,184319535.0
Montour,3146753.0,3185368.0,3271333.0
Northampton,45647223.0,46057443.0,40202211.0
Northumberland,6226230.0,6263566.0,5881387.0
Perry,2148412.0,2036604.0,2071298.0
Philadelphia,236818353.0,241305526.0,203173005.0
Pike,7815354.0,8087585.0,7360769.0
Potter,1321378.0,1389796.0,1299957.0
Schuylkill,12688855.0,12783116.0,12056603.0
Snyder,3881002.0,3784001.0,3825715.0
Somerset,4902524.0,4992712.0,4777520.0
Sullivan,673378.0,644135.0,559742.0
Susquehanna,2749345.0,2715742.0,2494528.0
Tioga,3852900.0,3910752.0,3711686.0
Union,5727957.0,5887083.0,5732834.0
Venango,4692664.0,4644389.0,4486031.0
Warren,3869199.0,3857607.0,3683842.0
Washington,31624485.0,32219420.0,26798762.0
Wayne,12547260.0,12861710.0,12246352.0
Westmoreland,62689517.0,63286292.0,60414024.0
Wyoming,3017967.0,2920391.0,3026001.0
York,60702860.0,61521893.0,55965004.0